Day,MJan,MFeb,MMar,MApr,MMay,MJun,MJul,MAug,MSep,MOct,MNov,MDec,mJan,mFeb,mMar,mApr,mMay,mJun,mJul,mAug,mSep,mOct,mNov,mDec
1,19.7,20.8,23.2,36.2,42.2,41.5,33.8,31.5,36.5,35.0,30.2,25.2,5.5,8.7,12.3,20.2,27.0,27.0,25.7,24.2,29.0,25.2,18.8,10.2
2,20.8,21.0,25.0,37.0,41.8,42.5,30.5,34.0,36.0,35.5,29.6,25.0,5.3,8.3,13.7,20.0,26.8,28.0,25.5,26.8,28.6,25.2,18.0,10.8
3,21.0,21.0,25.5,37.2,40.6,42.2,35.5,35.0,36.2,36.0,31.0,23.0,6.7,9.7,14.7,20.6,28.6,27.8,28.4,29.3,27.4,24.6,18.4,11.5
4,20.0,13.5,18.6,36.8,37.5,43.8,35.0,35.5,36.8,35.0,31.5,24.2,9.7,8.0,11.6,22.5,26.5,27.6,28.0,27.0,27.2,24.5,18.3,10.6
5,18.0,16.0,23.8,37.6,37.0,43.5,37.0,35.2,34.5,35.8,30.5,23.5,10.0,6.7,12.7,21.6,24.2,27.5,30.0,28.0,27.8,25.0,18.0,10.2
6,14.5,14.5,25.5,38.5,37.5,44.5,38.0,30.8,32.2,36.2,27.0,23.5,11.4,6.5,14.2,22.0,25.0,29.5,30.0,24.8,26.2,24.4,18.2,10.8
7,14.6,16.6,26.3,39.0,37.6,44.8,33.2,31.2,34.2,34.5,28.0,23.5,11.3,7.4,15.7,22.8,24.0,31.5,25.4,26.4,27.8,25.4,17.6,11.0
8,14.5,21.2,26.0,39.2,40.0,44.2,39.0,33.2,36.2,32.4,28.2,24.5,11.7,8.8,16.2,22.0,25.4,31.8,29.7,26.8,28.8,24.8,17.2,10.8
9,13.5,23.0,28.2,40.0,40.8,44.0,38.2,35.5,34.8,32.6,28.5,24.2,9.2,9.5,15.8,23.8,27.0,29.6,31.4,28.2,28.8,23.3,17.2,11.2
10,15.0,21.5,29.0,40.8,40.8,44.0,35.5,35.6,35.2,31.2,26.5,25.5,9.0,8.5,16.5,24.0,26.7,29.5,26.0,27.0,28.5,23.5,15.3,11.8
11,14.5,21.8,28.0,41.2,40.5,43.0,34.2,37.5,35.0,28.8,27.0,24.5,7.7,8.3,15.8,23.5,28.3,31.0,28.5,29.4,27.8,21.6,15.6,10.5
12,16.8,23.2,29.5,41.7,42.5,42.4,35.5,32.2,34.2,30.0,27.2,25.5,6.8,8.4,17.6,25.5,28.5,29.2,29.0,27.0,24.3,18.4,14.8,10.3
13,18.0,24.0,30.5,40.0,44.0,42.0,36.2,37.0,35.0,31.2,27.5,25.0,8.2,10.0,18.0,26.2,28.0,29.4,29.4,28.6,25.5,20.8,15.0,12.3
14,14.5,23.4,32.3,39.0,43.5,42.0,35.0,37.0,35.2,32.0,27.0,24.5,7.4,10.0,18.7,24.2,29.0,30.5,25.0,29.5,27.7,21.0,15.3,10.5
15,16.0,22.5,33.6,38.3,45.0,42.3,31.0,36.5,34.5,32.0,20.5,23.0,8.0,10.0,20.2,22.8,27.3,30.5,23.6,26.5,27.8,21.2,13.8,9.8
16,14.5,23.0,33.3,37.0,45.2,42.5,29.5,31.8,35.5,32.4,23.5,24.0,7.7,10.4,20.7,22.2,29.8,30.4,24.6,25.8,24.2,20.0,13.4,10.0
17,12.3,23.5,35.0,38.2,43.5,40.5,37.4,35.5,34.5,33.5,23.5,23.0,8.2,11.4,21.4,22.6,28.2,22.6,25.4,27.5,26.2,19.4,13.5,8.2
18,13.5,24.0,37.0,39.2,41.7,34.5,33.7,34.0,34.5,33.0,25.5,24.0,8.5,11.8,21.5,23.8,27.4,22.0,26.7,27.4,26.0,19.0,12.2,8.3
19,15.6,23.0,33.3,40.5,41.4,31.8,36.5,35.2,35.8,33.0,25.5,22.5,8.4,10.0,21.5,28.0,27.8,22.5,29.5,27.2,27.4,19.5,11.6,8.2
20,13.0,24.2,34.2,40.5,42.8,34.2,37.5,35.0,35.5,32.0,25.5,21.0,9.5,10.7,22.0,25.0,28.0,24.8,31.0,27.3,26.5,20.0,11.8,7.6
21,12.5,24.7,34.5,38.8,42.0,35.5,34.0,33.5,34.0,27.5,25.5,20.6,9.8,11.0,22.4,25.8,27.2,21.2,23.0,26.0,26.3,17.5,11.0,6.2
22,13.4,25.4,34.5,36.5,42.0,28.5,28.5,35.2,33.5,30.6,26.2,18.0,9.0,12.2,22.0,22.0,25.7,21.5,23.6,28.5,25.5,16.0,11.7,7.0
23,12.7,24.0,34.2,35.5,41.0,33.5,34.0,36.0,35.0,30.6,26.0,15.0,9.8,12.0,19.7,24.2,24.5,24.0,25.7,28.5,25.0,16.0,10.8,7.2
24,13.7,23.0,34.3,36.8,34.2,36.0,31.5,35.5,31.5,31.5,26.5,12.8,9.8,12.3,21.2,23.2,21.6,25.8,26.0,27.6,23.0,16.0,11.8,6.4
25,13.5,23.6,34.8,38.0,31.8,38.0,34.8,33.5,28.0,31.0,27.0,13.0,8.0,13.2,20.8,25.2,22.2,26.5,27.5,26.5,23.0,16.5,10.5,6.0
26,14.0,24.0,33.7,38.5,36.3,39.3,33.6,33.2,30.2,31.5,26.5,13.5,7.6,11.4,20.2,25.2,25.0,28.4,27.2,27.6,22.8,18.0,11.0,6.0
27,16.6,19.0,35.2,39.5,38.2,39.2,34.0,34.5,31.8,32.2,25.5,15.0,6.4,10.2,20.0,24.5,28.2,30.0,27.5,27.0,24.7,17.2,10.0,5.0
28,18.8,22.2,36.3,41.3,40.5,39.0,34.5,34.5,32.5,31.0,24.5,15.0,7.2,10.5,20.8,25.8,30.2,31.6,27.7,27.5,24.5,16.8,9.6,5.2
29,19.8,,36.2,42.2,40.4,41.8,32.2,35.5,33.5,32.0,24.5,19.5,6.7,***,20.7,26.9,25.8,32.4,27.0,24.0,24.7,18.2,9.5,5.2
30,20.0,,37.0,42.5,40.0,40.8,32.0,35.0,34.0,31.5,24.4,16.0,7.8,***,20.7,26.5,28.4,28.7,25.8,26.0,25.2,17.8,9.5,7.3
31,22.0,,36.2,,36.8,,34.0,34.8,,31.5,,18.5,8.5,,22.8,,26.3,,26.2,27.2,,18.8,,7.5
