Avg_Jan_R,Avg_Feb_R,Avg_Mar_R,Avg_Apr_R,Avg_Jun_R,Avg_Jul_R,Avg_Aug_R,Avg_Sep_R,Avg_Oct_R,Avg_Nov_R,Avg_Dec_R
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
14.85,10.75,15.1,29.65,35.7,31.5,31.25,32.0,29.75,24.9,17.4
14.85,10.75,15.1,29.65,35.7,31.5,31.25,32.0,29.75,24.9,17.4
14.85,10.75,15.1,29.65,35.7,31.5,31.25,32.0,29.75,24.9,17.4
14.85,10.75,15.1,29.65,35.7,31.5,31.25,32.0,29.75,24.9,17.4
14.85,10.75,15.1,29.65,35.7,31.5,31.25,32.0,29.75,24.9,17.4
14.85,10.75,15.1,29.65,35.7,31.5,31.25,32.0,29.75,24.9,17.4
14.85,10.75,15.1,29.65,35.7,31.5,31.25,32.0,29.75,24.9,17.4
14.85,10.75,15.1,29.65,35.7,31.5,31.25,32.0,29.75,24.9,17.4
14.0,11.35,18.25,29.6,35.5,33.5,31.6,31.15,30.4,24.25,16.85
14.0,11.35,18.25,29.6,35.5,33.5,31.6,31.15,30.4,24.25,16.85
14.0,11.35,18.25,29.6,35.5,33.5,31.6,31.15,30.4,24.25,16.85
14.0,11.35,18.25,29.6,35.5,33.5,31.6,31.15,30.4,24.25,16.85
14.0,11.35,18.25,29.6,35.5,33.5,31.6,31.15,30.4,24.25,16.85
14.0,11.35,18.25,29.6,35.5,33.5,31.6,31.15,30.4,24.25,16.85
14.0,11.35,18.25,29.6,35.5,33.5,31.6,31.15,30.4,24.25,16.85
14.0,11.35,18.25,29.6,35.5,33.5,31.6,31.15,30.4,24.25,16.85
12.95,10.5,19.85,30.25,37.0,34.0,27.8,29.200000000000003,30.3,22.6,17.15
12.95,10.5,19.85,30.25,37.0,34.0,27.8,29.200000000000003,30.3,22.6,17.15
12.95,10.5,19.85,30.25,37.0,34.0,27.8,29.200000000000003,30.3,22.6,17.15
12.95,10.5,19.85,30.25,37.0,34.0,27.8,29.200000000000003,30.3,22.6,17.15
12.95,10.5,19.85,30.25,37.0,34.0,27.8,29.200000000000003,30.3,22.6,17.15
12.95,10.5,19.85,30.25,37.0,34.0,27.8,29.200000000000003,30.3,22.6,17.15
12.95,10.5,19.85,30.25,37.0,34.0,27.8,29.200000000000003,30.3,22.6,17.15
12.95,10.5,19.85,30.25,37.0,34.0,27.8,29.200000000000003,30.3,22.6,17.15
12.95,12.0,21.0,30.9,38.15,29.3,28.8,31.0,29.95,22.8,17.25
12.95,12.0,21.0,30.9,38.15,29.3,28.8,31.0,29.95,22.8,17.25
12.95,12.0,21.0,30.9,38.15,29.3,28.8,31.0,29.95,22.8,17.25
12.95,12.0,21.0,30.9,38.15,29.3,28.8,31.0,29.95,22.8,17.25
12.95,12.0,21.0,30.9,38.15,29.3,28.8,31.0,29.95,22.8,17.25
12.95,12.0,21.0,30.9,38.15,29.3,28.8,31.0,29.95,22.8,17.25
12.95,12.0,21.0,30.9,38.15,29.3,28.8,31.0,29.95,22.8,17.25
12.95,12.0,21.0,30.9,38.15,29.3,28.8,31.0,29.95,22.8,17.25
13.1,15.0,21.1,30.6,38.0,34.35,30.0,32.5,28.6,22.7,17.65
13.1,15.0,21.1,30.6,38.0,34.35,30.0,32.5,28.6,22.7,17.65
13.1,15.0,21.1,30.6,38.0,34.35,30.0,32.5,28.6,22.7,17.65
13.1,15.0,21.1,30.6,38.0,34.35,30.0,32.5,28.6,22.7,17.65
13.1,15.0,21.1,30.6,38.0,34.35,30.0,32.5,28.6,22.7,17.65
13.1,15.0,21.1,30.6,38.0,34.35,30.0,32.5,28.6,22.7,17.65
13.1,15.0,21.1,30.6,38.0,34.35,30.0,32.5,28.6,22.7,17.65
13.1,15.0,21.1,30.6,38.0,34.35,30.0,32.5,28.6,22.7,17.65
11.35,16.25,22.0,31.9,36.8,34.8,31.85,31.8,27.950000000000003,22.85,17.7
11.35,16.25,22.0,31.9,36.8,34.8,31.85,31.8,27.950000000000003,22.85,17.7
11.35,16.25,22.0,31.9,36.8,34.8,31.85,31.8,27.950000000000003,22.85,17.7
11.35,16.25,22.0,31.9,36.8,34.8,31.85,31.8,27.950000000000003,22.85,17.7
11.35,16.25,22.0,31.9,36.8,34.8,31.85,31.8,27.950000000000003,22.85,17.7
11.35,16.25,22.0,31.9,36.8,34.8,31.85,31.8,27.950000000000003,22.85,17.7
11.35,16.25,22.0,31.9,36.8,34.8,31.85,31.8,27.950000000000003,22.85,17.7
11.35,16.25,22.0,31.9,36.8,34.8,31.85,31.8,27.950000000000003,22.85,17.7
12.0,15.0,22.75,32.4,36.75,30.75,31.3,31.85,27.35,20.9,18.65
12.0,15.0,22.75,32.4,36.75,30.75,31.3,31.85,27.35,20.9,18.65
12.0,15.0,22.75,32.4,36.75,30.75,31.3,31.85,27.35,20.9,18.65
12.0,15.0,22.75,32.4,36.75,30.75,31.3,31.85,27.35,20.9,18.65
12.0,15.0,22.75,32.4,36.75,30.75,31.3,31.85,27.35,20.9,18.65
12.0,15.0,22.75,32.4,36.75,30.75,31.3,31.85,27.35,20.9,18.65
12.0,15.0,22.75,32.4,36.75,30.75,31.3,31.85,27.35,20.9,18.65
12.0,15.0,22.75,32.4,36.75,30.75,31.3,31.85,27.35,20.9,18.65
11.1,15.05,21.9,32.35,37.0,31.35,33.45,31.4,25.200000000000003,21.3,17.5
11.1,15.05,21.9,32.35,37.0,31.35,33.45,31.4,25.200000000000003,21.3,17.5
11.1,15.05,21.9,32.35,37.0,31.35,33.45,31.4,25.200000000000003,21.3,17.5
11.1,15.05,21.9,32.35,37.0,31.35,33.45,31.4,25.200000000000003,21.3,17.5
11.1,15.05,21.9,32.35,37.0,31.35,33.45,31.4,25.200000000000003,21.3,17.5
11.1,15.05,21.9,32.35,37.0,31.35,33.45,31.4,25.200000000000003,21.3,17.5
11.1,15.05,21.9,32.35,37.0,31.35,33.45,31.4,25.200000000000003,21.3,17.5
11.1,15.05,21.9,32.35,37.0,31.35,33.45,31.4,25.200000000000003,21.3,17.5
11.8,15.8,23.55,33.6,35.8,32.25,29.6,29.25,24.2,21.0,17.9
11.8,15.8,23.55,33.6,35.8,32.25,29.6,29.25,24.2,21.0,17.9
11.8,15.8,23.55,33.6,35.8,32.25,29.6,29.25,24.2,21.0,17.9
11.8,15.8,23.55,33.6,35.8,32.25,29.6,29.25,24.2,21.0,17.9
11.8,15.8,23.55,33.6,35.8,32.25,29.6,29.25,24.2,21.0,17.9
11.8,15.8,23.55,33.6,35.8,32.25,29.6,29.25,24.2,21.0,17.9
11.8,15.8,23.55,33.6,35.8,32.25,29.6,29.25,24.2,21.0,17.9
11.8,15.8,23.55,33.6,35.8,32.25,29.6,29.25,24.2,21.0,17.9
13.1,17.0,24.25,33.1,35.7,32.8,32.8,30.25,26.0,21.25,18.65
13.1,17.0,24.25,33.1,35.7,32.8,32.8,30.25,26.0,21.25,18.65
13.1,17.0,24.25,33.1,35.7,32.8,32.8,30.25,26.0,21.25,18.65
13.1,17.0,24.25,33.1,35.7,32.8,32.8,30.25,26.0,21.25,18.65
13.1,17.0,24.25,33.1,35.7,32.8,32.8,30.25,26.0,21.25,18.65
13.1,17.0,24.25,33.1,35.7,32.8,32.8,30.25,26.0,21.25,18.65
13.1,17.0,24.25,33.1,35.7,32.8,32.8,30.25,26.0,21.25,18.65
13.1,17.0,24.25,33.1,35.7,32.8,32.8,30.25,26.0,21.25,18.65
10.95,16.7,25.5,31.6,36.25,30.0,33.25,31.450000000000003,26.5,21.15,17.5
10.95,16.7,25.5,31.6,36.25,30.0,33.25,31.450000000000003,26.5,21.15,17.5
10.95,16.7,25.5,31.6,36.25,30.0,33.25,31.450000000000003,26.5,21.15,17.5
10.95,16.7,25.5,31.6,36.25,30.0,33.25,31.450000000000003,26.5,21.15,17.5
10.95,16.7,25.5,31.6,36.25,30.0,33.25,31.450000000000003,26.5,21.15,17.5
10.95,16.7,25.5,31.6,36.25,30.0,33.25,31.450000000000003,26.5,21.15,17.5
10.95,16.7,25.5,31.6,36.25,30.0,33.25,31.450000000000003,26.5,21.15,17.5
10.95,16.7,25.5,31.6,36.25,30.0,33.25,31.450000000000003,26.5,21.15,17.5
12.0,16.25,26.9,30.55,36.4,27.3,31.5,31.15,26.6,17.15,16.4
12.0,16.25,26.9,30.55,36.4,27.3,31.5,31.15,26.6,17.15,16.4
12.0,16.25,26.9,30.55,36.4,27.3,31.5,31.15,26.6,17.15,16.4
12.0,16.25,26.9,30.55,36.4,27.3,31.5,31.15,26.6,17.15,16.4
12.0,16.25,26.9,30.55,36.4,27.3,31.5,31.15,26.6,17.15,16.4
12.0,16.25,26.9,30.55,36.4,27.3,31.5,31.15,26.6,17.15,16.4
12.0,16.25,26.9,30.55,36.4,27.3,31.5,31.15,26.6,17.15,16.4
12.0,16.25,26.9,30.55,36.4,27.3,31.5,31.15,26.6,17.15,16.4
11.1,16.7,27.0,29.6,36.45,27.05,28.8,29.85,26.2,18.45,17.0
11.1,16.7,27.0,29.6,36.45,27.05,28.8,29.85,26.2,18.45,17.0
11.1,16.7,27.0,29.6,36.45,27.05,28.8,29.85,26.2,18.45,17.0
11.1,16.7,27.0,29.6,36.45,27.05,28.8,29.85,26.2,18.45,17.0
11.1,16.7,27.0,29.6,36.45,27.05,28.8,29.85,26.2,18.45,17.0
11.1,16.7,27.0,29.6,36.45,27.05,28.8,29.85,26.2,18.45,17.0
11.1,16.7,27.0,29.6,36.45,27.05,28.8,29.85,26.2,18.45,17.0
11.1,16.7,27.0,29.6,36.45,27.05,28.8,29.85,26.2,18.45,17.0
10.25,17.45,28.2,30.4,31.55,31.4,31.5,30.35,26.45,18.5,15.6
10.25,17.45,28.2,30.4,31.55,31.4,31.5,30.35,26.45,18.5,15.6
10.25,17.45,28.2,30.4,31.55,31.4,31.5,30.35,26.45,18.5,15.6
10.25,17.45,28.2,30.4,31.55,31.4,31.5,30.35,26.45,18.5,15.6
10.25,17.45,28.2,30.4,31.55,31.4,31.5,30.35,26.45,18.5,15.6
10.25,17.45,28.2,30.4,31.55,31.4,31.5,30.35,26.45,18.5,15.6
10.25,17.45,28.2,30.4,31.55,31.4,31.5,30.35,26.45,18.5,15.6
10.25,17.45,28.2,30.4,31.55,31.4,31.5,30.35,26.45,18.5,15.6
11.0,17.9,29.25,31.5,28.25,30.200000000000003,30.7,30.25,26.0,18.85,16.15
11.0,17.9,29.25,31.5,28.25,30.200000000000003,30.7,30.25,26.0,18.85,16.15
11.0,17.9,29.25,31.5,28.25,30.200000000000003,30.7,30.25,26.0,18.85,16.15
11.0,17.9,29.25,31.5,28.25,30.200000000000003,30.7,30.25,26.0,18.85,16.15
11.0,17.9,29.25,31.5,28.25,30.200000000000003,30.7,30.25,26.0,18.85,16.15
11.0,17.9,29.25,31.5,28.25,30.200000000000003,30.7,30.25,26.0,18.85,16.15
11.0,17.9,29.25,31.5,28.25,30.200000000000003,30.7,30.25,26.0,18.85,16.15
11.0,17.9,29.25,31.5,28.25,30.200000000000003,30.7,30.25,26.0,18.85,16.15
12.0,16.5,27.4,34.25,27.15,33.0,31.200000000000003,31.6,26.25,18.55,15.35
12.0,16.5,27.4,34.25,27.15,33.0,31.200000000000003,31.6,26.25,18.55,15.35
12.0,16.5,27.4,34.25,27.15,33.0,31.200000000000003,31.6,26.25,18.55,15.35
12.0,16.5,27.4,34.25,27.15,33.0,31.200000000000003,31.6,26.25,18.55,15.35
12.0,16.5,27.4,34.25,27.15,33.0,31.200000000000003,31.6,26.25,18.55,15.35
12.0,16.5,27.4,34.25,27.15,33.0,31.200000000000003,31.6,26.25,18.55,15.35
12.0,16.5,27.4,34.25,27.15,33.0,31.200000000000003,31.6,26.25,18.55,15.35
12.0,16.5,27.4,34.25,27.15,33.0,31.200000000000003,31.6,26.25,18.55,15.35
11.25,17.45,28.1,32.75,29.5,34.25,31.15,31.0,26.0,18.65,14.3
11.25,17.45,28.1,32.75,29.5,34.25,31.15,31.0,26.0,18.65,14.3
11.25,17.45,28.1,32.75,29.5,34.25,31.15,31.0,26.0,18.65,14.3
11.25,17.45,28.1,32.75,29.5,34.25,31.15,31.0,26.0,18.65,14.3
11.25,17.45,28.1,32.75,29.5,34.25,31.15,31.0,26.0,18.65,14.3
11.25,17.45,28.1,32.75,29.5,34.25,31.15,31.0,26.0,18.65,14.3
11.25,17.45,28.1,32.75,29.5,34.25,31.15,31.0,26.0,18.65,14.3
11.25,17.45,28.1,32.75,29.5,34.25,31.15,31.0,26.0,18.65,14.3
11.15,17.85,28.45,32.3,28.35,28.5,29.75,30.15,22.5,18.25,13.4
11.15,17.85,28.45,32.3,28.35,28.5,29.75,30.15,22.5,18.25,13.4
11.15,17.85,28.45,32.3,28.35,28.5,29.75,30.15,22.5,18.25,13.4
11.15,17.85,28.45,32.3,28.35,28.5,29.75,30.15,22.5,18.25,13.4
11.15,17.85,28.45,32.3,28.35,28.5,29.75,30.15,22.5,18.25,13.4
11.15,17.85,28.45,32.3,28.35,28.5,29.75,30.15,22.5,18.25,13.4
11.15,17.85,28.45,32.3,28.35,28.5,29.75,30.15,22.5,18.25,13.4
11.15,17.85,28.45,32.3,28.35,28.5,29.75,30.15,22.5,18.25,13.4
11.2,18.8,28.25,29.25,25.0,26.05,31.85,29.5,23.3,18.95,12.5
11.2,18.8,28.25,29.25,25.0,26.05,31.85,29.5,23.3,18.95,12.5
11.2,18.8,28.25,29.25,25.0,26.05,31.85,29.5,23.3,18.95,12.5
11.2,18.8,28.25,29.25,25.0,26.05,31.85,29.5,23.3,18.95,12.5
11.2,18.8,28.25,29.25,25.0,26.05,31.85,29.5,23.3,18.95,12.5
11.2,18.8,28.25,29.25,25.0,26.05,31.85,29.5,23.3,18.95,12.5
11.2,18.8,28.25,29.25,25.0,26.05,31.85,29.5,23.3,18.95,12.5
11.2,18.8,28.25,29.25,25.0,26.05,31.85,29.5,23.3,18.95,12.5
11.25,18.0,26.950000000000003,29.85,28.75,29.85,32.25,30.0,23.3,18.4,11.1
11.25,18.0,26.950000000000003,29.85,28.75,29.85,32.25,30.0,23.3,18.4,11.1
11.25,18.0,26.950000000000003,29.85,28.75,29.85,32.25,30.0,23.3,18.4,11.1
11.25,18.0,26.950000000000003,29.85,28.75,29.85,32.25,30.0,23.3,18.4,11.1
11.25,18.0,26.950000000000003,29.85,28.75,29.85,32.25,30.0,23.3,18.4,11.1
11.25,18.0,26.950000000000003,29.85,28.75,29.85,32.25,30.0,23.3,18.4,11.1
11.25,18.0,26.950000000000003,29.85,28.75,29.85,32.25,30.0,23.3,18.4,11.1
11.25,18.0,26.950000000000003,29.85,28.75,29.85,32.25,30.0,23.3,18.4,11.1
11.75,17.65,27.75,30.0,30.9,28.75,31.55,27.25,23.75,19.15,9.6
11.75,17.65,27.75,30.0,30.9,28.75,31.55,27.25,23.75,19.15,9.6
11.75,17.65,27.75,30.0,30.9,28.75,31.55,27.25,23.75,19.15,9.6
11.75,17.65,27.75,30.0,30.9,28.75,31.55,27.25,23.75,19.15,9.6
11.75,17.65,27.75,30.0,30.9,28.75,31.55,27.25,23.75,19.15,9.6
11.75,17.65,27.75,30.0,30.9,28.75,31.55,27.25,23.75,19.15,9.6
11.75,17.65,27.75,30.0,30.9,28.75,31.55,27.25,23.75,19.15,9.6
11.75,17.65,27.75,30.0,30.9,28.75,31.55,27.25,23.75,19.15,9.6
10.75,18.4,27.8,31.6,32.25,31.15,30.0,25.5,23.75,18.75,9.5
10.75,18.4,27.8,31.6,32.25,31.15,30.0,25.5,23.75,18.75,9.5
10.75,18.4,27.8,31.6,32.25,31.15,30.0,25.5,23.75,18.75,9.5
10.75,18.4,27.8,31.6,32.25,31.15,30.0,25.5,23.75,18.75,9.5
10.75,18.4,27.8,31.6,32.25,31.15,30.0,25.5,23.75,18.75,9.5
10.75,18.4,27.8,31.6,32.25,31.15,30.0,25.5,23.75,18.75,9.5
10.75,18.4,27.8,31.6,32.25,31.15,30.0,25.5,23.75,18.75,9.5
10.75,18.4,27.8,31.6,32.25,31.15,30.0,25.5,23.75,18.75,9.5
10.8,17.7,26.950000000000003,31.85,33.849999999999994,30.4,30.4,26.5,24.75,18.75,9.75
10.8,17.7,26.950000000000003,31.85,33.849999999999994,30.4,30.4,26.5,24.75,18.75,9.75
10.8,17.7,26.950000000000003,31.85,33.849999999999994,30.4,30.4,26.5,24.75,18.75,9.75
10.8,17.7,26.950000000000003,31.85,33.849999999999994,30.4,30.4,26.5,24.75,18.75,9.75
10.8,17.7,26.950000000000003,31.85,33.849999999999994,30.4,30.4,26.5,24.75,18.75,9.75
10.8,17.7,26.950000000000003,31.85,33.849999999999994,30.4,30.4,26.5,24.75,18.75,9.75
10.8,17.7,26.950000000000003,31.85,33.849999999999994,30.4,30.4,26.5,24.75,18.75,9.75
10.8,17.7,26.950000000000003,31.85,33.849999999999994,30.4,30.4,26.5,24.75,18.75,9.75
11.5,14.6,27.6,32.0,34.6,30.75,30.75,28.25,24.700000000000003,17.75,10.0
11.5,14.6,27.6,32.0,34.6,30.75,30.75,28.25,24.700000000000003,17.75,10.0
11.5,14.6,27.6,32.0,34.6,30.75,30.75,28.25,24.700000000000003,17.75,10.0
11.5,14.6,27.6,32.0,34.6,30.75,30.75,28.25,24.700000000000003,17.75,10.0
11.5,14.6,27.6,32.0,34.6,30.75,30.75,28.25,24.700000000000003,17.75,10.0
11.5,14.6,27.6,32.0,34.6,30.75,30.75,28.25,24.700000000000003,17.75,10.0
11.5,14.6,27.6,32.0,34.6,30.75,30.75,28.25,24.700000000000003,17.75,10.0
11.5,14.6,27.6,32.0,34.6,30.75,30.75,28.25,24.700000000000003,17.75,10.0
13.0,16.35,28.55,33.55,35.3,31.1,31.0,28.5,23.9,17.05,10.1
13.0,16.35,28.55,33.55,35.3,31.1,31.0,28.5,23.9,17.05,10.1
13.0,16.35,28.55,33.55,35.3,31.1,31.0,28.5,23.9,17.05,10.1
13.0,16.35,28.55,33.55,35.3,31.1,31.0,28.5,23.9,17.05,10.1
13.0,16.35,28.55,33.55,35.3,31.1,31.0,28.5,23.9,17.05,10.1
13.0,16.35,28.55,33.55,35.3,31.1,31.0,28.5,23.9,17.05,10.1
13.0,16.35,28.55,33.55,35.3,31.1,31.0,28.5,23.9,17.05,10.1
13.0,16.35,28.55,33.55,35.3,31.1,31.0,28.5,23.9,17.05,10.1
13.25,0.0,28.450000000000003,34.55,37.1,29.6,29.75,29.1,25.1,17.0,12.35
13.25,0.0,28.450000000000003,34.55,37.1,29.6,29.75,29.1,25.1,17.0,12.35
13.25,0.0,28.450000000000003,34.55,37.1,29.6,29.75,29.1,25.1,17.0,12.35
13.25,0.0,28.450000000000003,34.55,37.1,29.6,29.75,29.1,25.1,17.0,12.35
13.25,0.0,28.450000000000003,34.55,37.1,29.6,29.75,29.1,25.1,17.0,12.35
13.25,0.0,28.450000000000003,34.55,37.1,29.6,29.75,29.1,25.1,17.0,12.35
13.25,0.0,28.450000000000003,34.55,37.1,29.6,29.75,29.1,25.1,17.0,12.35
13.25,0.0,28.450000000000003,34.55,37.1,29.6,29.75,29.1,25.1,17.0,12.35
13.9,0.0,28.85,34.5,34.75,28.9,30.5,29.6,24.65,16.95,11.65
13.9,0.0,28.85,34.5,34.75,28.9,30.5,29.6,24.65,16.95,11.65
13.9,0.0,28.85,34.5,34.75,28.9,30.5,29.6,24.65,16.95,11.65
13.9,0.0,28.85,34.5,34.75,28.9,30.5,29.6,24.65,16.95,11.65
13.9,0.0,28.85,34.5,34.75,28.9,30.5,29.6,24.65,16.95,11.65
13.9,0.0,28.85,34.5,34.75,28.9,30.5,29.6,24.65,16.95,11.65
13.9,0.0,28.85,34.5,34.75,28.9,30.5,29.6,24.65,16.95,11.65
13.9,0.0,28.85,34.5,34.75,28.9,30.5,29.6,24.65,16.95,11.65
15.25,0.0,29.5,0.0,0.0,30.1,31.0,0.0,25.15,0.0,13.0
15.25,0.0,29.5,0.0,0.0,30.1,31.0,0.0,25.15,0.0,13.0
15.25,0.0,29.5,0.0,0.0,30.1,31.0,0.0,25.15,0.0,13.0
15.25,0.0,29.5,0.0,0.0,30.1,31.0,0.0,25.15,0.0,13.0
15.25,0.0,29.5,0.0,0.0,30.1,31.0,0.0,25.15,0.0,13.0
15.25,0.0,29.5,0.0,0.0,30.1,31.0,0.0,25.15,0.0,13.0
15.25,0.0,29.5,0.0,0.0,30.1,31.0,0.0,25.15,0.0,13.0
15.25,0.0,29.5,0.0,0.0,30.1,31.0,0.0,25.15,0.0,13.0
